#### Side:src ###
Experiment	n_seqs:	total_toks:	mean_len:	median_len:	max_len:	EMD:	n:	zero_types:	effective_n:	0%:	1%:	5%:	10%:	25%:	50%:	75%:	90%:	95%:	98%:	99%:	100%:
runs-ende-001m/011-ende-.5k.5k-r1	1,000,000	63,813,447	63.8134	56.0000	513	0.4502	500	8	492	1746472	1000000	460230	306366	152705	70437	25708	1209	632	396	350	326
runs-ende-001m/022-ende-01k01k-r1	1,000,000	52,546,439	52.5464	46.0000	513	0.4719	1,000	18	982	1440688	585605	176464	117492	52601	24815	14645	3278	945	432	357	217
runs-ende-001m/033-ende-02k02k-r1	1,000,000	44,276,633	44.2766	39.0000	513	0.4942	2,000	22	1,978	1440744	198593	69564	41674	18619	9413	5751	2611	958	421	308	1
runs-ende-001m/044-ende-04k04k-r1	1,000,000	37,872,847	37.8728	33.0000	513	0.5272	4,000	39	3,961	1440775	97048	24733	14790	6825	3597	2260	1228	604	219	70	1
runs-ende-001m/055-ende-08k08k-r1	1,000,000	33,330,873	33.3309	29.0000	513	0.5762	8,000	67	7,933	1440750	34983	9810	5744	2643	1324	798	448	189	55	20	1
runs-ende-001m/066-ende-16k16k-r1	1,000,000	30,474,850	30.4748	27.0000	513	0.6409	16,000	139	15,861	1440747	16644	4270	2384	983	444	250	156	69	19	7	1
runs-ende-001m/077-ende-32k32k-r1	1,000,000	28,846,672	28.8467	25.0000	513	0.7145	32,000	353	31,647	1440663	8232	1942	959	339	136	74	49	21	6	3	1
runs-ende-001m/088-ende-48k48k-r1	1,000,000	28,245,891	28.2459	25.0000	513	0.7582	48,000	760	47,240	1440669	5533	1216	544	172	67	36	26	11	4	2	1
runs-ende-001m/099-ende-64k64k-r1	1,000,000	27,925,914	27.9259	24.0000	513	0.7876	64,000	1,325	62,675	1440632	4231	848	354	106	41	22	16	8	3	2	1

runs-ende-030k/000-ende-chars-r1	30,000	4,369,261	145.6420	130.0000	513	0.7734	131	3	128	764096	419975	252769	108951	7409	1085	65	32	23	19	19	19
runs-ende-030k/011-ende-.5k.5k-r1	30,000	1,880,587	62.6862	56.0000	513	0.4270	500	8	492	46669	30000	12893	8140	4326	2110	1172	122	50	25	20	9
runs-ende-030k/022-ende-01k01k-r1	30,000	1,557,676	51.9225	46.0000	513	0.4629	1,000	16	984	46674	17780	5162	3325	1535	739	468	151	59	24	13	1
runs-ende-030k/033-ende-02k02k-r1	30,000	1,305,579	43.5193	39.0000	513	0.4974	2,000	27	1,973	46680	5775	1938	1153	546	273	172	89	43	18	6	1
runs-ende-030k/044-ende-04k04k-r1	30,000	1,116,064	37.2021	33.0000	465	0.5415	4,000	68	3,932	46683	2749	749	436	201	102	65	35	18	6	3	1
runs-ende-030k/055-ende-08k08k-r1	30,000	986,651	32.8884	29.0000	411	0.6034	8,000	196	7,804	46682	1143	287	167	74	37	22	12	6	2	1	1
runs-ende-030k/066-ende-16k16k-r1	30,000	907,555	30.2518	27.0000	357	0.6860	16,000	714	15,286	46682	540	127	69	27	12	7	5	2	1	1	1
runs-ende-030k/077-ende-32k32k-r1	30,000	899,862	29.9954	27.0000	355	0.6994	17,554	874	16,680	46682	492	114	61	23	10	6	4	2	1	1	1
runs-ende-030k/088-ende-48k48k-r1	30,000	899,862	29.9954	27.0000	355	0.6994	17,554	875	16,679	46682	492	114	61	23	10	6	4	2	1	1	1
runs-ende-030k/099-ende-64k64k-r1	30,000	899,862	29.9954	27.0000	355	0.6994	17,554	875	16,679	46682	492	114	61	23	10	6	4	2	1	1	1

runs-ende-500k/000-ende-chars-r1	500,000	70,336,492	140.6730	124.0000	513	0.8046	164	3	161	12343327	6687016	3491535	1172916	64838	6951	599	320	211	197	192	190
runs-ende-500k/011-ende-.5k.5k-r1	500,000	31,709,390	63.4188	56.0000	513	0.4426	500	8	492	853850	500000	219958	150260	76290	35252	16284	913	407	221	199	192
runs-ende-500k/022-ende-01k01k-r1	500,000	26,235,515	52.4710	46.0000	513	0.4709	1,000	18	982	723249	294597	85722	58693	25988	12484	7321	2056	599	304	206	111
runs-ende-500k/033-ende-02k02k-r1	500,000	22,109,404	44.2188	39.0000	513	0.4940	2,000	23	1,977	723294	99932	34095	20402	9410	4697	2859	1339	513	218	130	1
runs-ende-500k/044-ende-04k04k-r1	500,000	18,928,869	37.8577	33.0000	513	0.5279	4,000	41	3,959	723313	49043	12572	7340	3434	1802	1127	624	316	107	33	1
runs-ende-500k/055-ende-08k08k-r1	500,000	16,662,182	33.3244	29.0000	513	0.5771	8,000	75	7,925	723291	17600	4857	2868	1322	659	402	223	95	29	11	1
runs-ende-500k/066-ende-16k16k-r1	500,000	15,236,931	30.4739	27.0000	513	0.6430	16,000	166	15,834	723285	8411	2134	1194	488	221	124	76	34	10	4	1
runs-ende-500k/077-ende-32k32k-r1	500,000	14,422,777	28.8456	25.0000	513	0.7178	32,000	496	31,504	723236	4133	978	481	169	68	37	25	11	3	2	1
runs-ende-500k/088-ende-48k48k-r1	500,000	14,123,022	28.2460	25.0000	513	0.7627	48,000	1,064	46,936	723249	2771	610	274	86	34	18	13	6	2	1	1
runs-ende-500k/099-ende-64k64k-r1	500,000	13,963,724	27.9274	25.0000	513	0.7936	64,000	1,936	62,064	723227	2134	427	177	53	21	11	8	4	2	1	1

runs-ende-all/000-ende-chars-r1	4,511,868	634,511,409	140.6316	124.0000	513	0.8100	170	3	167	111244616	60342119	31508277	10593046	565535	44263	4869	2472	1948	1668	1590	1564
runs-ende-all/011-ende-.5k.5k-r1	4,511,868	287,120,053	63.6366	56.0000	513	0.4470	500	8	492	7478306	4511868	2071723	1334200	689439	315953	131127	6457	3052	1977	1705	1565
runs-ende-all/022-ende-01k01k-r1	4,511,868	236,753,079	52.4734	46.0000	513	0.4715	1,000	18	982	6537261	2628888	796112	527656	236438	111303	66239	16543	4811	2254	1741	1043
runs-ende-all/033-ende-02k02k-r1	4,511,868	199,483,963	44.2132	39.0000	513	0.4944	2,000	22	1,978	6537543	833777	315436	188820	83354	42542	25956	11818	4542	1989	1370	1
runs-ende-all/044-ende-04k04k-r1	4,511,868	170,723,003	37.8387	33.0000	513	0.5272	4,000	35	3,965	6537778	440924	111117	66343	30917	16184	10167	5578	2757	887	259	1
runs-ende-all/055-ende-08k08k-r1	4,511,868	150,316,864	33.3159	29.0000	513	0.5767	8,000	53	7,947	6537650	157945	44509	25765	11923	5926	3589	1975	802	189	69	1
runs-ende-all/066-ende-16k16k-r1	4,511,868	137,487,859	30.4725	27.0000	513	0.6411	16,000	91	15,909	6537682	74490	19238	10671	4416	1984	1115	678	282	69	23	1
runs-ende-all/077-ende-32k32k-r1	4,511,868	130,197,707	28.8567	25.0000	513	0.7139	32,000	211	31,789	6537638	36752	8710	4307	1508	602	327	215	84	21	8	1
runs-ende-all/088-ende-48k48k-r1	4,511,868	127,539,945	28.2677	25.0000	513	0.7564	48,000	427	47,573	6537341	24855	5491	2420	764	298	159	109	44	12	5	1
runs-ende-all/099-ende-64k64k-r1	4,511,868	126,132,509	27.9557	25.0000	513	0.7846	64,000	733	63,267	6537272	19016	3789	1575	467	181	95	67	28	8	3	1

runs-enhi-030k/000-enhi-chars-r1	30,000	2,489,215	82.9738	57.0000	513	0.6929	93	3	90	453437	453437	144109	100861	21817	2597	822	213	154	110	107	107
runs-enhi-030k/011-enhi-.5k.5k-r1	30,000	1,107,589	36.9196	25.0000	513	0.4110	500	16	484	30000	20095	7199	4856	2650	1316	704	443	226	107	54	3
runs-enhi-030k/022-enhi-01k01k-r1	30,000	941,147	31.3716	22.0000	513	0.4493	1,000	20	980	30000	9898	2726	1962	942	466	269	193	122	60	33	3
runs-enhi-030k/033-enhi-02k02k-r1	30,000	817,460	27.2487	19.0000	513	0.4990	2,000	31	1,969	30000	3664	1287	808	347	166	100	72	46	18	8	1
runs-enhi-030k/044-enhi-04k04k-r1	30,000	716,364	23.8788	17.0000	513	0.5488	4,000	66	3,934	30000	1992	502	288	124	63	39	28	14	5	2	1
runs-enhi-030k/055-enhi-08k08k-r1	30,000	636,826	21.2275	15.0000	497	0.5968	8,000	174	7,826	30000	826	179	103	48	24	15	10	5	2	1	1
runs-enhi-030k/066-enhi-16k16k-r1	30,000	585,401	19.5134	14.0000	457	0.6594	15,024	625	14,399	30000	353	80	46	20	10	6	4	2	1	1	1
runs-enhi-030k/077-enhi-32k32k-r1	30,000	585,396	19.5132	14.0000	457	0.6594	15,026	626	14,400	30000	352	80	46	20	10	6	4	2	1	1	1
runs-enhi-030k/088-enhi-48k48k-r1	30,000	585,397	19.5132	14.0000	457	0.6594	15,026	626	14,400	30000	352	80	46	20	10	6	4	2	1	1	1
runs-enhi-030k/099-enhi-64k64k-r1	30,000	585,397	19.5132	14.0000	457	0.6595	15,027	627	14,400	30000	352	80	46	20	10	6	4	2	1	1	1

runs-enhi-500k/000-enhi-chars-r1	500,000	41,205,595	82.4112	58.0000	513	0.6903	92	3	89	7459358	7459358	2386617	1938961	355486	45788	14302	4291	2928	2254	1811	1811
runs-enhi-500k/011-enhi-.5k.5k-r1	500,000	18,419,334	36.8387	26.0000	513	0.4100	500	14	486	500000	324186	126148	74492	44705	21347	11961	7856	3859	1920	892	148
runs-enhi-500k/022-enhi-01k01k-r1	500,000	15,664,500	31.3290	22.0000	513	0.4525	1,000	20	980	500000	165191	47010	32729	15144	7611	4463	3350	2206	1117	436	9
runs-enhi-500k/033-enhi-02k02k-r1	500,000	13,602,553	27.2051	19.0000	513	0.4989	2,000	27	1,973	500000	57127	21173	13165	5713	2801	1671	1148	727	282	110	1
runs-enhi-500k/044-enhi-04k04k-r1	500,000	11,927,018	23.8540	17.0000	513	0.5454	4,000	38	3,962	500000	32219	8429	4716	2054	1032	654	447	234	85	31	1
runs-enhi-500k/055-enhi-08k08k-r1	500,000	10,600,033	21.2001	15.0000	513	0.5891	8,000	66	7,934	500000	12942	3098	1743	787	401	249	156	75	23	8	1
runs-enhi-500k/066-enhi-16k16k-r1	500,000	9,684,875	19.3697	14.0000	513	0.6466	16,000	167	15,833	500000	5203	1217	694	302	141	84	57	26	8	4	1
runs-enhi-500k/077-enhi-32k32k-r1	500,000	9,127,541	18.2551	13.0000	513	0.7191	32,000	612	31,388	500000	2300	543	290	106	45	25	18	9	3	2	1
runs-enhi-500k/088-enhi-48k48k-r1	500,000	8,923,579	17.8472	13.0000	513	0.7648	48,000	1,394	46,606	500000	1548	353	168	56	22	12	9	5	2	1	1
runs-enhi-500k/099-enhi-64k64k-r1	500,000	8,817,533	17.6351	13.0000	512	0.7976	64,000	2,586	61,414	500000	1207	255	112	35	13	7	5	3	1	1	1

runs-enhi-all/000-enhi-chars-r1	1,315,219	108,059,718	82.1610	57.0000	513	0.6904	92	3	89	19536258	19536258	6261266	5086551	933008	118454	37515	11474	7863	5910	4717	4717
runs-enhi-all/011-enhi-.5k.5k-r1	1,315,219	48,334,069	36.7498	26.0000	513	0.4097	500	14	486	1315219	847145	331552	195034	116775	56336	31514	20535	10201	5011	2272	416
runs-enhi-all/022-enhi-01k01k-r1	1,315,219	41,121,962	31.2662	22.0000	513	0.4522	1,000	21	979	1315219	458410	126771	86036	40027	20210	11681	8632	5681	2133	908	25
runs-enhi-all/033-enhi-02k02k-r1	1,315,219	35,704,624	27.1473	19.0000	513	0.4981	2,000	27	1,973	1315219	147610	54947	34246	15168	7298	4410	3023	1892	686	264	1
runs-enhi-all/044-enhi-04k04k-r1	1,315,219	31,297,671	23.7965	17.0000	513	0.5448	4,000	35	3,965	1315219	83037	22532	12351	5368	2724	1717	1131	573	180	45	1
runs-enhi-all/055-enhi-08k08k-r1	1,315,219	27,797,911	21.1356	15.0000	513	0.5877	8,000	51	7,949	1315219	33831	8133	4590	2082	1061	648	400	190	48	14	1
runs-enhi-all/066-enhi-16k16k-r1	1,315,219	25,399,399	19.3119	14.0000	513	0.6449	16,000	119	15,881	1315219	13609	3214	1810	789	372	220	147	61	18	6	1
runs-enhi-all/077-enhi-32k32k-r1	1,315,219	23,938,075	18.2008	13.0000	513	0.7152	32,000	384	31,616	1315219	5977	1411	757	277	117	65	44	20	6	3	1
runs-enhi-all/088-enhi-48k48k-r1	1,315,219	23,408,463	17.7981	13.0000	513	0.7591	48,000	882	47,118	1315219	4046	915	434	145	58	31	22	10	3	2	1
runs-enhi-all/099-enhi-64k64k-r1	1,315,219	23,134,867	17.5901	13.0000	513	0.7894	64,000	1,564	62,436	1315219	3112	662	288	90	34	18	13	6	2	1	1


#### Side:tgt ###
Experiment	n_seqs:	total_toks:	mean_len:	median_len:	max_len:	EMD:	n:	zero_types:	effective_n:	0%:	1%:	5%:	10%:	25%:	50%:	75%:	90%:	95%:	98%:	99%:	100%:
runs-deen-001m/000-deen-chars-r1	1,000,000	140,365,478	140.3655	123.0000	513	0.7588	125	3	122	24630083	13335093	7967320	3510200	270484	56076	4083	2122	1562	1362	1226	1219
runs-deen-001m/011-deen-.5k.5k-r1	1,000,000	62,006,640	62.0066	54.0000	513	0.4183	500	8	492	1675015	1000000	422427	260554	145002	69081	37445	8567	3203	1748	1451	1222
runs-deen-001m/022-deen-01k01k-r1	1,000,000	51,918,329	51.9183	45.0000	513	0.4586	1,000	19	981	1440687	555834	167752	113345	50991	25044	14919	7427	3278	1680	1222	217
runs-deen-001m/033-deen-02k02k-r1	1,000,000	43,999,593	43.9996	38.0000	513	0.4902	2,000	23	1,977	1440746	188710	67916	40764	18379	9372	5786	3273	1641	545	256	1
runs-deen-001m/044-deen-04k04k-r1	1,000,000	37,778,027	37.7780	33.0000	513	0.5267	4,000	39	3,961	1440776	97048	24733	14741	6801	3591	2254	1371	677	215	67	1
runs-deen-001m/055-deen-08k08k-r1	1,000,000	33,306,713	33.3067	29.0000	513	0.5770	8,000	69	7,931	1440752	34983	9802	5724	2631	1322	794	449	181	55	20	1
runs-deen-001m/066-deen-16k16k-r1	1,000,000	30,480,730	30.4807	27.0000	513	0.6422	16,000	150	15,850	1440747	16644	4263	2383	980	443	249	155	69	19	7	1
runs-deen-001m/077-deen-32k32k-r1	1,000,000	28,867,298	28.8673	25.0000	513	0.7167	32,000	436	31,564	1440663	8232	1949	961	339	135	73	49	21	6	3	1
runs-deen-001m/088-deen-48k48k-r1	1,000,000	28,271,875	28.2719	25.0000	513	0.7605	48,000	907	47,093	1440669	5534	1218	546	172	67	36	25	11	4	2	1
runs-deen-001m/099-deen-64k64k-r1	1,000,000	27,954,751	27.9548	25.0000	513	0.7903	64,000	1,585	62,415	1440632	4237	851	355	106	41	22	16	8	3	2	1

runs-deen-030k/000-deen-chars-r1	30,000	4,369,261	145.6420	130.0000	513	0.7734	131	3	128	764096	419975	252769	108951	7409	1085	65	32	23	19	19	19
runs-deen-030k/011-deen-.5k.5k-r1	30,000	1,880,587	62.6862	56.0000	513	0.4270	500	8	492	46669	30000	12893	8140	4326	2110	1172	122	50	25	20	9
runs-deen-030k/022-deen-01k01k-r1	30,000	1,557,676	51.9225	46.0000	513	0.4629	1,000	16	984	46674	17780	5162	3325	1535	739	468	151	59	24	13	1
runs-deen-030k/033-deen-02k02k-r1	30,000	1,305,579	43.5193	39.0000	513	0.4974	2,000	27	1,973	46680	5775	1938	1153	546	273	172	89	43	18	6	1
runs-deen-030k/044-deen-04k04k-r1	30,000	1,116,064	37.2021	33.0000	465	0.5415	4,000	68	3,932	46683	2749	749	436	201	102	65	35	18	6	3	1
runs-deen-030k/055-deen-08k08k-r1	30,000	986,651	32.8884	29.0000	411	0.6034	8,000	196	7,804	46682	1143	287	167	74	37	22	12	6	2	1	1
runs-deen-030k/066-deen-16k16k-r1	30,000	907,550	30.2517	27.0000	357	0.6859	16,000	713	15,287	46682	540	127	69	27	12	7	5	2	1	1	1
runs-deen-030k/077-deen-32k32k-r1	30,000	899,862	29.9954	27.0000	355	0.6993	17,553	873	16,680	46682	492	114	61	23	10	6	4	2	1	1	1
runs-deen-030k/088-deen-48k48k-r1	NA
runs-deen-030k/099-deen-64k64k-r1	NA

runs-deen-500k/000-deen-chars-r1	500,000	70,336,492	140.6730	124.0000	513	0.8046	164	3	161	12343327	6687016	3491535	1172916	64838	6951	599	320	211	197	192	190
runs-deen-500k/011-deen-.5k.5k-r1	500,000	31,709,390	63.4188	56.0000	513	0.4426	500	8	492	853850	500000	219958	150260	76290	35252	16284	913	407	221	199	192
runs-deen-500k/022-deen-01k01k-r1	500,000	26,235,515	52.4710	46.0000	513	0.4709	1,000	18	982	723249	294597	85722	58693	25988	12484	7321	2056	599	304	206	111
runs-deen-500k/033-deen-02k02k-r1	500,000	22,109,404	44.2188	39.0000	513	0.4940	2,000	23	1,977	723294	99932	34095	20402	9410	4697	2859	1339	513	218	130	1
runs-deen-500k/044-deen-04k04k-r1	500,000	18,929,289	37.8586	33.0000	513	0.5279	4,000	41	3,959	723313	49043	12572	7340	3434	1803	1127	624	316	107	33	1
runs-deen-500k/055-deen-08k08k-r1	500,000	16,663,028	33.3261	29.0000	513	0.5772	8,000	75	7,925	723291	17600	4857	2868	1321	659	402	223	95	29	11	1
runs-deen-500k/066-deen-16k16k-r1	500,000	15,237,006	30.4740	27.0000	513	0.6430	16,000	166	15,834	723285	8411	2134	1194	488	221	124	76	34	10	4	1
runs-deen-500k/077-deen-32k32k-r1	500,000	14,422,761	28.8455	25.0000	513	0.7179	32,000	497	31,503	723236	4133	978	481	169	68	37	25	11	3	2	1
runs-deen-500k/088-deen-48k48k-r1	500,000	14,123,065	28.2461	25.0000	513	0.7627	48,000	1,066	46,934	723249	2771	610	274	86	34	18	13	6	2	1	1
runs-deen-500k/099-deen-64k64k-r1	500,000	13,963,709	27.9274	25.0000	513	0.7936	64,000	1,936	62,064	723227	2134	427	177	53	21	11	8	4	2	1	1

runs-deen-all/000-deen-chars-r1	4,511,868	634,511,409	140.6316	124.0000	513	0.7550	122	3	119	111244616	60342119	37166448	16584319	1274112	261553	21421	10645	7108	6724	6417	5998
runs-deen-all/011-deen-.5k.5k-r1	4,511,868	279,437,763	61.9339	54.0000	513	0.4175	500	8	492	7339477	4511868	1919598	1188310	654601	308491	170070	42382	14410	8686	7111	6002
runs-deen-all/022-deen-01k01k-r1	4,511,868	233,964,274	51.8553	45.0000	513	0.4592	1,000	19	981	6537277	2551170	745281	509624	229222	112128	66915	34108	14896	8429	5709	1043
runs-deen-all/033-deen-02k02k-r1	4,511,868	198,291,000	43.9488	38.0000	513	0.4901	2,000	23	1,977	6537564	833782	306239	185150	82869	42562	26114	14840	7441	2527	1341	1
runs-deen-all/044-deen-04k04k-r1	4,511,868	170,301,114	37.7451	33.0000	513	0.5265	4,000	35	3,965	6537780	440924	111031	65689	30805	16074	10162	6122	2999	877	258	1
runs-deen-all/055-deen-08k08k-r1	4,511,868	150,201,244	33.2903	29.0000	513	0.5774	8,000	50	7,950	6537647	157980	44509	25593	11894	5897	3570	1971	753	188	68	1
runs-deen-all/066-deen-16k16k-r1	4,511,868	137,514,197	30.4783	27.0000	513	0.6426	16,000	102	15,898	6537682	75932	19238	10658	4405	1972	1107	673	278	68	23	1
runs-deen-all/077-deen-32k32k-r1	4,511,868	130,297,284	28.8788	25.0000	513	0.7162	32,000	296	31,704	6537640	36752	8742	4313	1506	601	325	214	83	21	8	1
runs-deen-all/088-deen-48k48k-r1	4,511,868	127,663,535	28.2951	25.0000	513	0.7589	48,000	594	47,406	6537340	24861	5503	2429	764	297	159	109	44	12	5	1
runs-deen-all/099-deen-64k64k-r1	4,511,868	126,269,696	27.9861	25.0000	513	0.7875	64,000	1,016	62,984	6537272	19115	3803	1582	468	181	95	67	28	8	3	1

runs-ende-001m/000-ende-chars-r1	1,000,000	154,755,230	154.7552	136.0000	513	0.7843	183	3	180	23191806	20002691	4860218	1478623	261411	8802	1070	554	458	404	394	391
runs-ende-001m/011-ende-.5k.5k-r1	1,000,000	71,437,901	71.4379	63.0000	513	0.4467	500	7	493	1866539	1103280	598165	332382	166679	78610	33759	1289	636	462	406	391
runs-ende-001m/022-ende-01k01k-r1	1,000,000	58,645,952	58.6460	52.0000	513	0.4545	1,000	18	982	1438255	551680	207951	130571	59091	30111	17708	3182	1062	545	447	48
runs-ende-001m/033-ende-02k02k-r1	1,000,000	49,668,249	49.6682	44.0000	513	0.4776	2,000	23	1,977	1438410	220323	85748	49207	22052	10843	6836	3373	1215	535	309	1
